ts,city,cityName,products,discounted,avg_discount
2026-08-15T18:44:33Z,750000000,Алматы,2334,609,23.6
2026-08-15T18:44:33Z,710000000,Астана,2333,610,23.6
2026-08-15T18:44:33Z,511010000,Шымкент,2332,610,23.6
2026-08-15T18:44:33Z,470000000,Актобе,2333,609,23.6
2026-08-15T19:22:26Z,750000000,Алматы,2333,608,23.6
2026-08-15T19:22:26Z,710000000,Астана,2333,608,23.6
2026-08-15T19:22:26Z,511010000,Шымкент,2331,607,23.6
2026-08-15T19:22:26Z,470000000,Актобе,2333,606,23.6
2026-08-15T20:24:23Z,750000000,Алматы,2329,607,23.6
2026-08-15T20:24:23Z,710000000,Астана,2332,608,23.6
2026-08-15T20:24:23Z,511010000,Шымкент,2328,608,23.6
2026-08-15T20:24:23Z,470000000,Актобе,2332,607,23.6
2026-08-15T21:22:37Z,750000000,Алматы,2331,606,23.6
2026-08-15T21:22:37Z,710000000,Астана,2330,606,23.7
2026-08-15T21:22:37Z,511010000,Шымкент,2328,607,23.6
2026-08-15T21:22:37Z,470000000,Актобе,2331,605,23.6
2026-08-15T22:23:17Z,750000000,Алматы,2331,606,23.6
2026-08-15T22:23:17Z,710000000,Астана,2329,607,23.6
2026-08-15T22:23:17Z,511010000,Шымкент,2329,607,23.6
2026-08-15T22:23:17Z,470000000,Актобе,2329,606,23.6
2026-08-15T23:21:48Z,750000000,Алматы,2330,603,23.7
2026-08-15T23:21:48Z,710000000,Астана,2328,605,23.7
2026-08-15T23:21:48Z,511010000,Шымкент,2327,605,23.7
2026-08-15T23:21:48Z,470000000,Актобе,2330,604,23.7
2026-08-16T01:24:33Z,750000000,Алматы,2327,604,23.7
2026-08-16T01:24:33Z,710000000,Астана,2328,604,23.7
2026-08-16T01:24:33Z,511010000,Шымкент,2328,605,23.7
2026-08-16T01:24:33Z,470000000,Актобе,2329,604,23.7
2026-08-16T03:01:35Z,750000000,Алматы,2321,598,23.7
2026-08-16T03:01:35Z,710000000,Астана,2327,603,23.7
2026-08-16T03:01:35Z,511010000,Шымкент,2308,595,23.7
2026-08-16T03:01:35Z,470000000,Актобе,2328,603,23.7
2026-08-16T04:37:52Z,750000000,Алматы,2324,602,23.7
2026-08-16T04:37:52Z,710000000,Астана,2326,603,23.7
2026-08-16T04:37:52Z,511010000,Шымкент,2297,597,23.7
2026-08-16T04:37:52Z,470000000,Актобе,2327,602,23.7
2026-08-16T05:30:08Z,750000000,Алматы,2325,601,23.7
2026-08-16T05:30:08Z,710000000,Астана,2325,601,23.7
2026-08-16T05:30:08Z,511010000,Шымкент,2324,601,23.7
2026-08-16T05:30:08Z,470000000,Актобе,2328,601,23.7
